"","iso3_code","country","region","year","homicide_rate","violence_rate","gdp","inflation_rate","unemployment_rate","hdi","crime_rate","personnel_rate","trafficked_victims","alcohol_consumption_rate"
"38","ATG","Antigua & Barbuda","Americas",2022,10.6651877606305,25.901170275817,1867733333.33333,7.53107834634288,NA,0.826,130.352294852151,NA,NA,NA
"39","ARG","Argentina","Americas",2015,6.55846607812005,123.418564726512,594749285413.212,NA,7.58,0.85,357.294227953417,304.133741602663,243,8.57
"40","ARG","Argentina","Americas",2016,6.01123351839994,96.0904265392686,557532320662.955,NA,8.083,0.848,618.58455396487,37.3108677010629,414,8.6
"41","ARG","Argentina","Americas",2017,5.25938076500315,77.6059425872648,643628393281.364,NA,8.347,0.853,289.588269251967,38.5960311930384,1200,8.34
"42","ARG","Argentina","Americas",2018,5.36772568472051,75.9947471940799,524819892360.176,NA,9.221,0.852,313.005503990265,40.6789848766132,1531,8.04
"43","ARG","Argentina","Americas",2019,5.15805828158886,83.3956114489227,447754683615.225,NA,9.843,0.853,374.282162772944,42.3021865280217,1590,8.04
"44","ARG","Argentina","Americas",2020,5.36903428792306,83.3212837223315,385740508436.965,NA,11.461,0.841,255.137930446448,41.7132663907868,933,8.05
"45","ARG","Argentina","Americas",2021,4.62488719383313,101.615883461677,487902572164.348,NA,8.736,0.844,296.564817551071,45.037802305435,1404,NA
"46","ARG","Argentina","Americas",2022,4.30891298100796,107.881469867998,631133384439.944,NA,6.805,0.849,684.893038980743,NA,NA,NA
"47","ARM","Armenia","Asia",2015,2.60543772222213,2.66912619987644,10553337518.414,3.73169119261693,12.468,0.769,20.9681540923304,38.9252395699985,5,4.98
"48","ARM","Armenia","Asia",2016,3.03576444561533,2.75079805129511,10546136235.5219,-1.403607559009,12.732,0.773,22.0180156917618,8.06047801077173,25,4.88
"49","ARM","Armenia","Asia",2017,2.45448421994563,2.45448421994563,11527458709.0158,0.969553268816138,12.968,0.775,22.4327482152342,7.92447762439589,12,4.85
"50","ARM","Armenia","Asia",2018,1.76270034411436,2.36201846111325,12457940694.7395,2.52023382001638,13.212,0.781,51.8092885142093,NA,28,4.98
"51","ARM","Armenia","Asia",2019,2.58809998716586,2.72400478101247,13619290539.2116,1.44344660770698,12.2,0.789,22.7788252295078,NA,8,4.98
"52","ARM","Armenia","Asia",2020,1.85343003960994,NA,12641698583.2152,1.21143577838465,12.18,0.769,NA,NA,11,4.28
"53","ARM","Armenia","Asia",2021,2.18561692083122,NA,13878908628.9378,7.18483629443371,10.012,0.774,NA,NA,13,NA
"54","AUS","Australia","Oceania",2015,0.990754206181912,96.6289714077991,1351768945139.11,1.50836672165921,6.055,0.933,843.999788918977,134.813939928474,35,10.39
"55","AUS","Australia","Oceania",2016,0.938183153355088,99.4505139797142,1207580901578.72,1.27699094497324,5.711,0.936,877.569082310569,135.141770220182,36,10.25
"56","AUS","Australia","Oceania",2017,0.845860816693259,102.448791464158,1326882104817,1.94864740944527,5.592,0.937,816.044222904821,138.196577565803,90,10.19
"57","AUS","Australia","Oceania",2018,0.884735037869462,100.967884118125,1429733668185.91,1.91140094445691,5.3,0.941,826.141358240425,274.223825153938,134,10.09
"58","AUS","Australia","Oceania",2019,0.887322993851443,99.8011607762223,1394671325960.57,1.61076787290379,5.159,0.941,858.277954519372,275.570972628255,189,10.09
"59","AUS","Australia","Oceania",2020,0.860925441869983,98.5350593966485,1330381544909.3,0.846905537459305,6.456,0.948,660.448629416436,279.746230344459,193,10.29
"60","AUS","Australia","Oceania",2021,0.744567483256587,104.245234449833,1559033756285.13,2.86391042204994,5.116,0.949,665.879624116101,NA,NA,NA
"61","AUS","Australia","Oceania",2022,0.832778990941943,104.884311813312,1692956646855.7,6.59409671341846,3.701,0.946,711.888514119242,NA,NA,NA
"62","AUT","Austria","Europe",2015,0.509116600545148,18.3182797637706,381971148530.543,0.89656333526032,5.802,0.91,325.474771478964,61.5518664107133,126,12.19
"63","AUT","Austria","Europe",2016,0.618097411465272,20.4391841556757,395837353031.499,0.891591752655362,6.064,0.913,193.768152024546,62.4458255197018,72,11.93
"64","AUT","Austria","Europe",2017,0.795680952852948,19.847819323943,417261151844.977,2.08126911385587,5.561,0.914,169.211249896294,62.5307798621659,354,11.92
"65","AUT","Austria","Europe",2018,0.972794225855445,20.4311924231345,454991174096.102,1.9983798142954,4.933,0.917,154.009561369546,64.2803679573152,343,11.97
"66","AUT","Austria","Europe",2019,0.867122976056144,21.401546006442,444596155845.254,1.53089564152644,4.56,0.92,161.44981901706,65.769427657008,176,11.97
"67","AUT","Austria","Europe",2020,0.729699452512114,20.1147578995049,435049316955.737,1.38191063351862,5.201,0.916,146.421954394128,66.7843391229932,129,11.51
"68","AUT","Austria","Europe",2021,0.728529506902089,21.0252370342358,479295362747.047,2.7666666666667,6.459,0.92,139.369342927173,67.2841031627244,NA,NA
"69","AUT","Austria","Europe",2022,0.883706762828877,26.3801649923673,470941926750.741,8.5468699318845,4.992,0.926,285.079327223974,NA,NA,NA
"70","AZE","Azerbaijan","Asia",2015,2.13920441872443,NA,53076235354.746,4.02768573742726,4.96,0.751,NA,NA,48,1.44
"71","AZE","Azerbaijan","Asia",2016,1.69402364496151,0.972309429356607,37866996882.9157,12.4433748584372,5,0.752,10.5584116727384,NA,70,1.46
